Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
2418,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 615 МВ 178
2419,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 616 КС 178
2420,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 616 МВ 178
2421,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 617 КС 178
2422,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 617 МВ 178
2423,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 618 КС 178
2424,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2012,Euro 3,В 618 МВ 178
2425,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-03,СВ,2011,Euro 3,В 619 КС 178
2426,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 619 МВ 178
2427,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-03,СВ,2011,Euro 3,В 620 КС 178
2428,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 620 МВ 178
2429,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-03,СВ,2011,Euro 3,В 621 КС 178
2430,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 621 МВ 178
2431,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 622 КС 178
2432,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 622 МВ 178
2433,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-03,СВ,2011,Euro 3,В 623 КС 178
2434,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 623 МВ 178
2435,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 624 МВ 178
2436,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 625 МВ 178
2437,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 626 МВ 178
2438,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 627 МВ 178
2439,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 628 МВ 178
2440,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 629 МВ 178
2441,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 630 МВ 178
2442,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05,СВ,2012,Euro 3,В 631 МВ 178
2443,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 632 МВ 178
2444,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 633 МВ 178
2445,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 4,В 634 МВ 178
2446,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 648 МВ 178
2447,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 649 МВ 178
2448,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 650 МВ 178
2449,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 651 МВ 178
2450,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 652 МВ 178
2451,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 653 МВ 178
2452,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 654 МВ 178
2453,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-05,СВ,2012,Euro 4,В 655 МВ 178
2454,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2012,Euro 4,В 656 МВ 178
2455,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2012,Euro 4,В 657 МВ 178
2456,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 4,В 658 МВ 178
2457,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2012,Euro 4,В 659 МВ 178
2458,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2012,Euro 4,В 660 МВ 178
2459,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2012,Euro 4,В 661 МВ 178
2460,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-05,СВ,2012,Euro 4,В 662 МВ 178
2461,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 663 МВ 178
2462,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 664 МВ 178
2463,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 665 МВ 178
2464,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 666 МВ 178
2465,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 667 МВ 178
2466,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 668 МВ 178
2467,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 669 МВ 178
2468,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 670 МВ 178
2469,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2012,Euro 3,В 671 МВ 178
2470,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2012,Euro 3,В 672 МВ 178
2471,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 673 МВ 178
2472,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 674 МВ 178
2473,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 675 МВ 178
2474,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2012,Euro 4,В 676 МВ 178
2475,"ООО ""Петербургская Транспортная Компания""",К-86,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 4,В 726 МА 178
2476,"ООО ""Петербургская Транспортная Компания""",К-86,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 4,В 727 МА 178
2477,"ООО ""Петербургская Транспортная Компания""",К-86,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 4,В 728 МА 178
2478,"ООО ""Петербургская Транспортная Компания""",К-86,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 4,В 729 МА 178
2479,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 4,В 810 КХ 178
2480,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 4,В 811 КХ 178
2481,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 4,В 812 КХ 178
2482,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 3,В 813 КХ 178
2483,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 3,В 814 КХ 178
2484,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 3,В 815 КХ 178
2485,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 3,В 816 КХ 178
2486,"ООО ""Петербургская Транспортная Компания""",К-290,ПАЗ 320402-03,СВ,2011,Euro 3,В 828 ЕВ 178
2487,"ООО ""Петербургская Транспортная Компания""",К-163,ПАЗ 320402-03,СВ,2011,Euro 3,В 829 ЕВ 178
2488,"ООО ""Петербургская Транспортная Компания""",К-163,ПАЗ 320402-03,СВ,2011,Euro 3,В 830 ЕВ 178
2489,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-03,СВ,2011,Euro 3,В 831 ЕВ 178
2490,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-03,СВ,2011,Euro 3,В 832 ЕВ 178
2491,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-03,СВ,2011,Euro 3,В 833 ЕВ 178
2492,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-03,СВ,2011,Euro 3,В 834 ЕВ 178
2493,"ООО ""Петербургская Транспортная Компания""",К-117,ПАЗ 320402-03,СВ,2011,Euro 3,В 835 ЕВ 178
2494,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-03,СВ,2011,Euro 3,В 836 ЕВ 178
2495,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-03,СВ,2011,Euro 3,В 837 ЕВ 178
2496,"ООО ""Петербургская Транспортная Компания""",К-272,ПАЗ 320402-03,СВ,2011,Euro 3,В 838 ЕВ 178
2497,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-03,СВ,2011,Euro 3,В 839 ЕВ 178
2498,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-03,СВ,2011,Euro 3,В 840 ЕВ 178
2499,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-03,СВ,2011,Euro 3,В 841 ЕВ 178
2500,"ООО ""Петербургская Транспортная Компания""",К-290,ПАЗ 320402-03,СВ,2011,Euro 3,В 842 ЕВ 178
2501,"ООО ""Петербургская Транспортная Компания""",К-117,ПАЗ 320402-03,СВ,2011,Euro 3,В 843 ЕВ 178
2502,"ООО ""Петербургская Транспортная Компания""",К-272,ПАЗ 320402-03,СВ,2011,Euro 3,В 844 ЕВ 178
2503,"ООО ""Петербургская Транспортная Компания""",К-117,ПАЗ 320402-03,СВ,2011,Euro 3,В 845 ЕВ 178
2504,"ООО ""Петербургская Транспортная Компания""",К-272,ПАЗ 320402-03,СВ,2011,Euro 4,В 846 ЕВ 178
2505,"ООО ""Петербургская Транспортная Компания""",К-272,ПАЗ 320402-03,СВ,2011,Euro 4,В 847 ЕВ 178
2506,"ООО ""Петербургская Транспортная Компания""",К-272,ПАЗ 320402-03,СВ,2011,Euro 4,В 848 ЕВ 178
